county,mmr2_pct
Alameda,98.1
Alpine,0.0
Amador,95.7
Butte,96.3
Calaveras,91.8
Colusa,98.3
Contra Costa,97.9
Del Norte,96.3
El Dorado,89.8
Fresno,98.0
Glenn,97.2
Humboldt,91.9
Imperial,98.4
Inyo,97.8
Kern,93.5
Kings,99.0
Lake,96.9
Lassen,95.3
Los Angeles,96.4
Madera,97.2
Marin,96.6
Mariposa,94.9
Mendocino,88.1
Merced,98.9
Modoc,0.0
Mono,98.7
Monterey,98.4
Napa,96.4
Nevada,83.4
Orange,97.2
Placer,94.4
Plumas,90.0
Riverside,97.8
Sacramento,95.8
San Benito,98.2
San Bernardino,97.1
San Diego,94.3
San Francisco,97.3
San Joaquin,98.0
San Luis Obispo,96.3
San Mateo,98.0
Santa Barbara,97.8
Santa Clara,98.3
Santa Cruz,92.8
Shasta,90.9
Sierra,0.0
Siskiyou,92.2
Solano,98.7
Sonoma,93.5
Stanislaus,97.3
Sutter,74.9
Tehama,95.9
Trinity,93.5
Tulare,99.1
Tuolumne,91.0
Ventura,97.2
Yolo,96.8
Yuba,95.1
